discord_name,vrc_name,runstyle,role
stealthpilot0001,XStealth,FR,3
chocominty,Chocominty_,PC+LS,0
cappunico,Bluebrealk,LS+FR,1
bdaybonnie3,Bonnie-5,PC,3
dn_airlinedoge,weegirairlineZ,PC+LS,3
muringigi,CairoIG,EC,1
kurosaki13xd,PrismaEX,FR,3
liebe_ema,*Ad Astra*,LS+EC,3
synnizer,oɢᴜʀɪ ᴄᴀᴘ,LS,3
stormfatal,Storm Fatal,PC,3
