discord_name,vrc_name,runstyle,role
raisuchawa_l,Rice Lin 2,EC+PC,0
tangerineswarski,-Eliezer-,LS,1
just_steki,Just Steki,PC,2
twistler,Twistler_2064,LS+EC,3
kopo100,Kopo100,LS,3
yuryujin,Yu Endel,FR+LS,3
samuel_otaku,oguri cap_chan,PC+LS,3
andrimi,Andrimis,LS+EC,3
pizzo.xyz,-Pizzo,FR,3
umalings67,umalings,FR,3
keyritical,RealMegu,LS,3
redchili385,Redchili385,PC,3
schusteev,Texas_Schuster,PC,1
_kasux,「Kasu,FR,3
majinpride,MajinPride2,FR,3
oguri1_cap,Symboli Rudolff,LS+EC,3
