discord_name,vrc_name,runstyle,role
1225holidaygirl,Tusutuau,PC,0
niycaionic,Niycaionic,PC,1
its.just.aki,AkiMuzi,LS,2
assasingkiller2.0,Assasingkiller2,PC,3
.arjom.,Ovash957real,FR,3
burning.mp4,Osaka 671c,FR,3
_vervent_,_Vervent_,EC,3
espikes.,Espikes 2dd9,LS,3
schusteev,Texas_Schuster,PC,3
pizzo.xyz,-Pizzo,FR,4
