discord_name,vrc_name,runstyle,role
Taylortheking101,Taylordaking101,LS+EC,0
agisasickglitch,Ag 58c5,LS+EC,1
tang3828,-<TANG>-,PC+LS,3
zenglish,Annie Mohka,EC,3
paopaoza1155,Paopaoza1155,PC+EC,3
setodarkness,Setodarkness,FR+PC+LS+EC,3
