discord_name,vrc_name,runstyle,role
la.ndmine,? Ryo ?,EC,0
whimsicallmoon,? Ray ?,FR,1
amintyruby,AMintyRuby,EC+LS+PC+FR,3
xnelogx,Ｎｅｏ Ｕｎｉｖｅｒｓｅ,PC+FR,3
RedFireTiger491,RedFireTiger491,LS,3
39Trainvt,Reynaila,FR,3
crimson.neo.17,Calstone LightO,FR,3
