discord_name,vrc_name,runstyle,role
lifesaver,HyperDash,PC,0
ogcheval,「 Cheval 」,FR,1
hamek2,Hame,FR+PC,3
superbanner145,Superbanner145,FR,4
alkosota,Flugzeugträger a8db,PC,5
higorsal,Shagor,PC,6
