discord_name,vrc_name,runstyle,role
agir_sol,_Sol Artemis_,FR+PC+LS,0
mecha_taishin,Symboli Rudolff,LS+EC,3
naoto.kiritano,NootKiri,EC,3
pizzo.xyz,-Pizzo,FR+PC,3
evangeline0563,Rane_R,LS,3
thosakakurumi,Kurumi bbe2,LS,3
