discord_name,vrc_name,runstyle,role
r3n0wned,R3NOWNED,FR+PC+LS+EC,0
shubaru,Shubaru,FR+PC,1
.roger0,博志 Hiroshi,LS,3
yuyu_237,Aryune,PC,3
succubunie,Succubunie,EC,3
goofyahpaul,Goofy Ah Paul,EC,3
