discord_name,vrc_name,runstyle,role
wildkat_6,Wildkat_6,LS,0
sleepy_zyrx,SleepyDino,FR+PC+LS,0
starshinebomber,Starshine Bomber,FR,3
justtricky,Just Tricky,PC,3
cattymrow,catty meowers,FR+LS,3
matrixcreepr,MatrixCreepr,FR+PC+LS+EC,3
papermakingsobbing21,Wasabiman21,LS,3
scarecrow.exe,Yume Odoriko,FR+LS,3

