discord_name,vrc_name,runstyle,role
neofansub,NeoGreyrat,FR,0
kyuroshixd,Kyuroshi,LS,1
still_2010,Forever in Love,FR,1
jdiegofake,Jdiegofake,LS,3
alkali_yh,AlkaliYH,PC,3
berrisheep1,BerriSheep1,PC+LS,3
calinka0527,Calinka,EC,3
azusafloat,AzusaFloat~,FR+PC,4
