discord_name,vrc_name,runstyle,role
kia.gi,Kiashi_GL,LS,0
breaux.jpx,brеaux,PC,1
natsumeooe,NatsumeOoe,EC,1
medikoo_,Not a Fеmboy,FR,2
lplc,lplc,FR+LS,3
yukipuffvt,YukiPuff,PC,3
goofyahpaul,Goofy Ah Paul,EC,3
sr229,Minori みのり,EC+LS,3
